问题:辩证法所要回答的是世界是否可知的问题。（    ）,,"
选项：['正', '确', '(', ')', ' ', ' ', ' ', ' ', '错', '误', '（', ')']","
答案：1","
【解析】辩证法即思辩与实证相统一的方法。辩证法是关于对立统一、斗争和运动、普遍联系和变化发展的哲学学说。马克思主义认为，辩证法是关于普遍联系的科学，是在肯定矛盾的基础上关于发展的学说，是关于自然、人类社会和思维发展的最一般规律的科学。辩证法主张用联系的、发展的、全面的观点看问题，与此对立的观点是形而上学，形而上学坚持用孤立的、静止的、片面的观点看问题，因此，辩证法回答的是世界的状况是怎样的问题。世界是否可知是划分可知论与不可知论的依据。故表述错误。","
来源:2013年6月四川省宜宾市事业单位考试《公共科目》题（精选）第1题","
出错率：72.37%","
易错选项：0" 
问题:每年高考前都有不少家长求神拜佛，祈祷子女在高考中考出好成绩，鬼神的形象是人们按照自己的形象和经验塑造的，这说明鬼神（    ）。,,"
选项：['A', '.', '是', '人', '们', '头', '脑', '中', '自', '生', '的', '，', '因', '为', '世', '界', '上', '根', '本', '没', '有', '鬼', '神', '\n', 'B', '.', '是', '一', '种', '虚', '幻', '的', '东', '西', '，', '信', '则', '有', '，', '不', '信', '则', '无', '\n', 'C', '.', '是', '客', '观', '事', '物', '在', '人', '脑', '中', '的', '反', '应', '，', '可', '以', '在', '客', '观', '世', '界', '中', '找', '到', '它', '的', '原', '型', '\n', 'D', '.', '是', '客', '观', '存', '在', '的', '东', '西', '\n']","
答案：2","
【解析】本题考查哲学常识。题干中“鬼神的形象是人们按照自己的形象和经验塑造的”，所以所谓的鬼神都是来源于客观世界的某些原型而进行加工所形成的，并不是人脑中自生的。信则有，不信则无属于主观唯心主义观点。故正确答案为C。","
来源:2017年下半年江西省九江市事业单位考试《综合基础知识》精选题第3题","
出错率：48.43%","
易错选项：0"
问题:“信心比黄金更重要”，能正确解释这一说法的观点是（  ）。,,"
选项：['A', '.', '人', '们', '在', '正', '确', '意', '识', '的', '指', '导', '下', '能', '够', '正', '确', '地', '认', '识', '世', '界', '、', '改', '造', '世', '界', '\n', 'B', '.', '社', '会', '心', '理', '可', '以', '左', '右', '社', '会', '发', '展', '方', '向', '\n', 'C', '.', '在', '一', '定', '条', '件', '下', '，', '精', '神', '力', '量', '可', '以', '转', '化', '为', '物', '质', '力', '量', '\n', 'D', '.', '正', '确', '的', '意', '识', '对', '物', '质', '具', '有', '促', '进', '作', '用', '\n']","
答案：0,2,3","
【解析】本题考查马克思主义哲学。“信心比黄金更重要”所蕴含的哲理是意识对物质有能动的反作用，体现了意识对物质的重要性。A项正确，人们在正确意识的指导下能够正确地认识世界、改造世界，体现了意识对物质有能动的反作用，社会意识对社会存在具有能动的反作用。B项错误，社会存在决定社会意识，社会意识对社会存在具有反作用。而题干说的社会心理可以左右社会发展方向，也就是社会心理可以决定社会发展的方向，表述有误。C项正确，在一定条件下，精神力量可以转化为物质力量，体现了意识对物质有能动的反作用，体现了意识的能动作用。D项正确，正确的意识对物质具有促进作用，体现了意识对物质有能动的反作用，体现了意识的能动作用。故正确答案为ACD。","
来源:2018年山西省选拔未就业高校毕业生到基层从事“三支一扶”工作考试题第101题","
出错率：61.33%","
易错选项：1"
问题:“观念的东西不外是移入人的头脑并在人的头脑中改造过的物质的东西而已。”这句话表达的是（  ）观点。[br][/br],,"
选项：['A', '.', '庸', '俗', '唯', '物', '主', '义', '\n', 'B', '.', '客', '观', '唯', '心', '主', '义', '\n', 'C', '.', '辩', '证', '唯', '物', '主', '义', '\n', 'D', '.', '形', '而', '上', '学', '唯', '物', '主', '义', '\n']","
答案：2","
【解析】C项正确，根据马克思主义唯物论，物质是世界的本原，物质决定意识，意识是对客观世界的反映。观念是一种人对外界事物形成的意识，它的存在基础是外界事物。“观念的东西不外是移入人的头脑并在人的头脑中改造过的物质的东西而已”是一种辩证唯物主义观点。故正确答案为C。【补充知识点】庸俗唯物主义承认唯物主义的基本原理，尖锐抨击唯心主义的思辨哲学和宗教。但他们把意识直接归结为物质，或认为人的精神活动能力只不过是脑物质的分泌物，或认为思想就是脑髓质的位移。他们对自然界和人类社会的解释具有强烈的机械论和社会达尔文主义倾向。客观唯心主义把客观精神（如“上帝”、理念、“绝对精神”、法则、众生业力等）看作世界的主宰和本原，指出现实的物质世界只是这些客观精神的外化和表现。客观唯心主义的哲学观点：世界是绝对观念的异化，世界是抽离物质的宇宙法则或意念的创造物。近代形而上学唯物主义在总结自然科学成就的基础上，丰富和发展了唯物主义。但它把物质归结为自然科学意义上的原子，认为原子是世界的本原，原子的属性就是物质的属性，因而具有机械性、形而上学性、历史观上的唯心主义等局限性。","
来源:2013年11月湖南省永州市祁阳县事业单位考试《公共基础知识》题（精选）第26题","
出错率：38.45%","
易错选项：1"
问题:亚里士多德把哲学定义为研究“存在的存在”的学说。（   ）,,"
选项：['正', '确', '(', ')', ' ', ' ', ' ', ' ', '错', '误', '（', ')']","
答案：0","
【解析】亚里士多德的《形而上学》的核心内容是关于“第一哲学”的讨论，第一哲学的对象不是任何特殊的存在者而是“作为存在的存在”，也即存在本身。亚里士多德说：“存在着一种考察作为存在的存在，以及就自身而言依存于它们的东西的科学。它不同于任何一种各部类的科学，因为没有任何别的科学普遍地研究作为存在的存在，而是从存在中切取一部分，研究这一部分的偶性，例如数学科学。”所有的科学研究都是针对不同领域的特殊的存在者，而第一哲学研究“作为存在的存在”，从而保证了科学研究对象的领域划分。 故表述正确。","
来源:2016年7月四川省宜宾市事业单位考试《公共基础知识》题第37题","
出错率：70.89%","
易错选项：1"
问题:把直接感知的某种具体实物看作是世界的本原，这种观点属于形而上学的唯物主义。（  ）,,"
选项：['正', '确', '(', ')', ' ', ' ', ' ', ' ', '错', '误', '（', ')']","
答案：1","
【解析】近代形而上学唯物主义在总结自然科学成就的基础上，丰富和发展了唯物主义。但它把物质归结为自然科学意义上的原子，认为原子是世界的本原，原子的属性就是物质的属性，因而具有机械性，形而上学性，历史观上的唯心主义等局限性。古代朴素唯物主义是把物质看成某一具体的形态，把直接感知的某种具体实物看作是世界的本原。故本题的观点应属于朴素唯物主义观点。故表述错误。","
来源:2014年3月湖南省湘潭湘乡市“5511”人才工程引进《公共基础知识》题第66题","
出错率：56.16%","
易错选项：0"
问题:在快节奏生活的时代，人们提出了“慢生活”的理念，一些人逐步接受了该理念，并加入“慢餐饮”“慢旅游”“慢运动”等行列。这反映了（  ）。,,"
选项：['A', '.', '世', '界', '观', '决', '定', '方', '法', '论', '\n', 'B', '.', '哲', '学', '来', '源', '于', '人', '们', '形', '成', '的', '世', '界', '观', '\n', 'C', '.', '方', '法', '论', '影', '响', '世', '界', '观', '\n', 'D', '.', '哲', '学', '是', '对', '具', '体', '生', '活', '的', '概', '括', '和', '升', '华', '\n']","
答案：0","
【解析】A项正确，世界观主要解决世界“是什么”的问题，方法论主要解决“怎么办”的问题。你要做事，是要先知道要做什么，不是知道先做什么。因为提出“慢生活”的理念，所以才有一系列“慢”的行为，这正说明了世界观决定方法论。B项错误，哲学来源于实践，来源于对实践的追问和对世界的思考。C项错误，方法论“反映”世界观而不是“影响”世界观。D项错误，哲学不是凭空产生的，它是以各门具体知识为基础，是对具体知识的概括和总结，与材料无关。故正确答案为A。","
来源:2013年河南省三支一扶考试《公共基础知识》题第13题","
出错率：53.04%","
易错选项：2"
问题:“古之天下，亦今之天下；今之天下，亦古之天下。”这是（    ）。,,"
选项：['A', '.', '形', '而', '上', '学', '观', '点', '\n', 'B', '.', '唯', '物', '主', '义', '观', '点', '\n', 'C', '.', '辩', '证', '法', '观', '点', '\n', 'D', '.', '唯', '心', '主', '义', '观', '点', '\n']","
答案：0","
【解析】本题考查马克思主义哲学。形而上学是同辩证法根本对立的哲学理论，它用孤立的静止的和片面的观点看待世界，认为世界上一切事物都是彼此孤立和永远不变的。A项正确，“古之天下，亦今之天下；今之天下，亦古之天下”是说古今的天下都是一样的，没有区别。这句话否认发展和运动的存在，因此属于形而上学观点。B项错误，唯物主义观点的核心在于认为物质决定意识，物质是第一性的。C项错误，辩证法的观点承认运动是物质的根本属性和存在方式，即一切事物都是在运动发展着的。D项错误，唯心主义观点认为意识决定物质，意识是第一性的。故正确答案为A。","
来源:2019年1月黑龙江省佳木斯市桦川县事业单位公开招聘考试《综合知识》试卷第35题","
出错率：54.17%","
易错选项：2"
问题:恩格斯指出，文艺复兴推动了人们的思想解放，“是一次人类从来没有的最伟大、进步的变革”。西方学者在论及文艺复兴的意义时，普遍将它作为西方社会的开端。这可以说明（  ）。,,"
选项：['A', '.', '社', '会', '变', '革', '推', '动', '了', '人', '类', '思', '想', '的', '解', '放', '\n', 'B', '.', '文', '化', '对', '社', '会', '发', '展', '具', '有', '反', '作', '用', '\n', 'C', '.', '任', '何', '哲', '学', '是', '社', '会', '变', '革', '的', '先', '导', '\n', 'D', '.', '任', '何', '哲', '学', '都', '是', '时', '代', '精', '神', '的', '精', '华', '\n']","
答案：1","
【解析】文艺复兴是于16世纪在欧洲盛行的一场思想文化运动，是一次重要的思想解放运动，带来一段科学与艺术革命时期，推动了人类社会的伟大变革。体现了文化对于社会发展的巨大推动作用，以及思想解放对社会变革的推动作用。B项正确，A项错误。C、D两项说法过于绝对，排除。故正确答案为B。","
来源:2014年吉林省事业单位考试《公共基础知识》题第9题","
出错率：52.41%","
易错选项：0"
问题:古希腊唯物主义学派的创始人泰勒斯认为(   )是万物的始基。,,"
选项：['A', '.', '地', '\n', 'B', '.', '土', '\n', 'C', '.', '火', '\n', 'D', '.', '水', '\n']","
答案：3","
【解析】本题主要考查哲学常识。泰勒斯是古希腊时期的思想家、科学家、哲学家，希腊最早的哲学学派“米利都学派”（也称爱奥尼亚学派）的创始人，他是第一个提出“世界的本原是什么？”并开启了哲学史的“本体论转向”的哲学家，认为水是万物之源。泰勒斯是古希腊第一位享有世界声誉的学者，有“科学之父”和“希腊数学的鼻祖”的美称，他主要从事哲学、数学、天文学的研究。故正确答案是D。","
来源:2016年7月四川省宜宾市事业单位考试《公共基础知识》题第44题","
出错率：51.49%","
易错选项：2"
问题:随着科学技术的发展，人类已经制造出诸如醋酸纤维、聚苯乙烯、合成橡胶等自然界原本不存在的化合物，其数量已达数百种。这一情况说明（    ）。,,"
选项：['A', '.', '物', '质', '世', '界', '是', '人', '类', '创', '造', '的', '\n', 'B', '.', '人', '类', '通', '过', '实', '践', '将', '“', '自', '在', '之', '物', '”', '转', '化', '为', '“', '为', '我', '之', '物', '”', '\n', 'C', '.', '物', '质', '世', '界', '依', '赖', '于', '人', '的', '意', '识', '而', '存', '在', '\n', 'D', '.', '人', '造', '物', '质', '可', '以', '脱', '离', '天', '然', '物', '质', '而', '存', '在', '\n']","
答案：1","
【解析】本题考查马克思主义哲学。A项错误，物质世界，即客观世界，它是指不依赖人的意识并能为人的意识所反映的世界，包括自然界和人类社会。B项正确，实践是人们改造客观世界的一切物质性活动。在人的实践活动中，天然自然这个“自在之物”日益转化为体现了人的目的，并能满足人的需要的“为我之物”。这一过程就是自然“人化”的过程，也就是人类社会形成和发展的过程。同时，在人的实践活动中，人类世界又不断地改变自在世界，使天然自然成为人化自然。这样，自在世界与人类世界就是在实践的基础上分化和统一。C项错误，选项表述错误，世界是客观存在的物质世界，物质世界是不依赖于人的意识，并能为人的意识所反映的客观实在。D项错误，选项表述错误，人造物质不能脱离天然物质而存在。故正确答案为B。","
来源:2018年湖南永州市招募高校毕业生到农村基层从事“三支一扶”工作考试题（客观题部分70分）第18题","
出错率：85.61%","
易错选项：2"
问题:阿那克西美尼认为，气体是万物之源，不同形式的物质是通过气体聚和散的过程产生的。这种观点在哲学上表达了（   ）。,,"
选项：['A', '.', '多', '元', '论', '的', '思', '想', '\n', 'B', '.', '万', '物', '都', '是', '物', '质', '的', '不', '同', '表', '现', '形', '式', '的', '思', '想', '\n', 'C', '.', '唯', '心', '主', '义', '的', '思', '想', '\n', 'D', '.', '物', '质', '和', '运', '动', '不', '可', '分', '的', '思', '想', '\n']","
答案：1,3","
【解析】本题考查哲学常识。A项错误，多元论是主张世界由多种本原构成的哲学学说。分为两种，一是将世界归结为多种物质本原的，是唯物主义的多元论；二是将世界归结为多种精神本原的学说，是唯心主义的多元论。而阿那克西美尼的观点认为，世界只有气体这一种本原，不符合题意。B项正确，阿那克西美尼认为气体是万物之源，气体通过聚和散可以变成万物，说明物质有着不同的表现形式，符合题意。C项错误，唯心主义的基本观点是：精神是第一性的，是世界的本原；物质是第二性的，是精神、意识、思维的派生物或表现。阿那克西美尼认为气体是世界的本原，是典型的古代朴素唯物主义，不符合题意。D项正确，阿那克西美尼认为气体可以转变为万物，但这个过程是气体不断聚和散的过程，即不同形式的物质是由气体不断运动产生的，符合题意。故正确答案为BD。","
来源:2018年4月山东省东营市事业单位考试《公共基础知识》题（客观题部分满分50分）第52题","
出错率：52.62%","
易错选项：0"
问题:邓小平有两句名言：一句是“摸着石头过河”，另一句是“看准了的，就大胆地试，大胆地闯。”也就是要具备理论创新的勇气，敢于走前人没有走过的道路，大胆地往前闯，大胆地去实践。这体现了马克思主义哲学是（   ）。,,"
选项：['A', '.', '科', '学', '性', '与', '革', '命', '性', '的', '统', '一', '\n', 'B', '.', '辩', '证', '的', '自', '然', '观', '与', '历', '史', '观', '的', '统', '一', '\n', 'C', '.', '继', '承', '性', '与', '发', '展', '性', '的', '统', '一', '\n', 'D', '.', '客', '观', '性', '与', '主', '观', '性', '的', '统', '一', '\n']","
答案：0","
【解析】本题考查哲学常识。马克思主义哲学的革命性与科学性是统一的。它的革命性体现在按照客观规律对旧世界的变革，科学性是坚持在对旧世界的改造中要求遵循客观规律，马克思主义哲学的革命性与科学性在实践中实现了统一。    A项正确，“摸着石头过河”说明了实践是认识的来源，体现出马克思主义哲学的科学性。“看准了的，就大胆地试，大胆地闯。”则是马克思主义哲学革命性的体现，因此，这两句话体现了马克思主义哲学是科学性与革命性的统一。B项错误，马克思主义哲学承认自然界的存在和发展是客观的，在自然观上是唯物的。同时承认人类社会的发展也是客观的，不以人的意志为转移，即历史观上是唯物的。这是马克思主义哲学在唯物主义基础上实现了自然观和历史观的统一。题干中的两句话并未体现自然观与历史观的统一这一哲理。C项错误，题干中的这两句话体现的是实践基础上的科学性与革命性的统一，并未体现出继承性与发展性的统一。D项错误，主观与客观相统一是指在尊重客观规律的前提下充分发挥主观能动性的作用，使二者相统一。题干中的这两句话并未体现出主观与客观相统一。故正确答案为A。","
来源:2017年河南省焦作博爱县事业单位考试《公共基础知识》题第17题","
出错率：48.16%","
易错选项：3"
问题:下列说法属于唯物主义的是：（    ）,,"
选项：['A', '.', '世', '界', '的', '本', '原', '是', '人', '的', '感', '知', '\n', 'B', '.', '巧', '妇', '难', '为', '无', '米', '之', '炊', '\n', 'C', '.', '我', '思', '故', '我', '在', '\n', 'D', '.', '心', '有', '多', '大', '，', '舞', '台', '就', '有', '多', '大', '\n']","
答案：1","
【解析】本题考查马克思主义哲学常识。唯物主义认为，物质是世界的本原，物质决定意识，意识反作用于物质；世界是可知的。A项错误，“世界的本原是人的感知” ，把人的主观精神当成世界的本原，属于主观唯心主义。B项正确，“巧妇难为无米之炊”意思是即使是聪明能干的妇女，没米也做不出饭来。这说明“米”这一物质是做出饭来的决定因素，属于唯物主义观点。C项错误，“我思故我在”是笛卡尔的哲学观点，它属于主观唯心主义观点。D项错误，“心有多大，舞台就有多大”强调意识的作用，甚至起到决定作用，属于主观唯心主义观点。故正确答案为B。","
来源:2019年河北省省直事业单位公开招聘工作人员《公共基础知识》题第28题","
出错率：93.75%","
易错选项：0"
问题:哲学是社会意识的一种形式，作为一门学问，它产生于（  ）社会。,,"
选项：['A', '.', '原', '始', '\n', 'B', '.', '奴', '隶', '\n', 'C', '.', '封', '建', '\n', 'D', '.', '资', '本', '主', '义', '\n']","
答案：1","
【解析】本题考查马克思主义哲学。哲学产生于社会生产力长足进步的古代奴隶制时期，当时社会经济的发展推动了人们认识能力的较大提高，人们开始思索世界的本质等理论问题，人类早期的哲学思想出现了。 故正确答案为B。","
来源:2017年河北辛集事业单位考试《公共基础知识》题第9题","
出错率：20.03%","
易错选项：3"
问题:唯心主义的两种基本类型是指,,"
选项：['A', '.', '辩', '证', '的', '唯', '心', '主', '义', '和', '形', '而', '上', '学', '的', '唯', '心', '主', '义', '\n', 'B', '.', '宗', '教', '唯', '心', '主', '义', '和', '历', '史', '唯', '心', '主', '义', '\n', 'C', '.', '主', '观', '唯', '心', '主', '义', '和', '客', '观', '唯', '心', '主', '义', '\n', 'D', '.', '可', '知', '论', '唯', '心', '主', '义', '和', '不', '可', '知', '论', '唯', '心', '主', '义', '\n']","
答案：2","
【解析】本题考查马克思主义哲学。A项错误，辩证唯心主义的根本观点是：上帝和人们的主观意识受到“辩证法”的制约，并推动客观世界发展变化。客观世界是由虚有的“上帝”和人的主观想象在“辩证法”的制约中创造出来。形而上学主要指对运动和发展的看法，它孤立、静止、片面地看待物质及其运动，与其相对的是辩证法，辩证法联系、发展、全面地看待物质及其运动。 B项错误，宗教同客观唯心主义常常有着密切的联系。客观唯心主义的分支是宗教的一种比较精致的形式，而宗教则是客观唯心主义的一种理想形式。历史唯心主义是关于人类社会发展的非科学的历史观，认为社会意识决定社会存在，人们的思想动机是社会发展的根本原因，否认社会发展的客观规律，也叫唯心史观。 C项正确，唯心主义认为精神(意识)第一性，物质第二性，精神决定物质，物质是精神的产物。唯心主义有两种基本表现形式：客观唯心主义和主观唯心主义。客观唯心主义认为，在现实世界之外独立存在着一种客观精神，它是世界的本原，世界万物是由它产生(派生)出来的。主观唯心主义是把人的主观精神(意识、观念等)看作世界的本原，世界上的一切只存在主观精神之中，是主观精神的产物。D项错误，可知论是认为世界可以认识的哲学学说，同不可知论相对立。一切唯物主义者和彻底的唯心主义者都主张可知论。不可知论是一种哲学的认识论，它认为除了感觉或现象之外，世界本身是无法认识的。不可知论是典型的唯心主义。 故正确答案为C。","
来源:2017年河北辛集事业单位考试《公共基础知识》题第10题","
出错率：81.63%","
易错选项：0"
问题:黑格尔认为，历史不是个人随意创造的，而是决定于某种“客观精神”，伟大人物是“世界精神的代理人”，世界历史是伟大人物和王朝的历史，“而不是一般人民的历史”，此观点属于（  ）。 ,,"
选项：['A', '.', '主', '观', '唯', '心', '主', '义', '\n', 'B', '.', '朴', '素', '唯', '物', '主', '义', '\n', 'C', '.', '客', '观', '唯', '心', '主', '义', '\n', 'D', '.', '辩', '证', '唯', '物', '主', '义', '\n']","
答案：2","
【解析】A项错误，主观唯心主义把本体的某种主观精神如感觉、经验、心灵、意识、观念、意志等看作是意识世界中一切事物产生和存在的根源与基础。B项错误，朴素唯物主义的基本特征是：试图在某些具体的有形物体中，试图在某些特殊的东西中，寻找具有无限多样性的自然现象的统一。C项正确，黑格尔是把客观精神看作世界的主宰和本原，认为现实的物质世界只能是这些客观精神的外化和表现，这是客观唯心主义的观点。D项错误，辩证唯物主义是现代实践主义哲学的核心思想。唯物主义坚持物质是第一性的，即物质第一，意识第二，这与唯心主义对立。辩证法是指运用两点论和重点论分析问题。故正确答案为C。","
来源:2013年10月甘肃省省直事业单位考试《公共基础知识》题第8题","
出错率：69.24%","
易错选项：0"
问题:中国古代哲学家荀子说：“心不使焉，则白黑在眼前而目不见，雷鼓在侧而耳不闻。”这段话表明人的意识具有（   ）。,,"
选项：['A', '.', '客', '观', '性', '\n', 'B', '.', '能', '动', '性', '\n', 'C', '.', '对', '象', '性', '\n', 'D', '.', '任', '意', '性', '\n']","
答案：1","
【解析】本题主要考查哲学常识。题干中荀子的话翻译为：如果人不用心去思考，黑白颜色摆在人眼前也看不见，雷声鼓声在你耳边响着耳朵也听不见。它强调的是人的意识的能动作用。A项错误，意识的客观性是指意识的内容源于客观世界，而荀子的这段话未体现意识的客观性。B项正确，荀子的这段话强调的是意识的作用，即能动地反映客观世界。C项错误，马克思主义哲学中没有意识具有对象性这种表述。D项错误，本身说法错误，意识活动具有目的性和计划性，不具有任意性。故正确答案为B。","
来源:2017年吉林省高校毕业生“三支一扶”选拔招募考试综合知识试题（精选）第6题","
出错率：80.33%","
易错选项：0"
问题:“菩提本无树，明镜亦非台，心中无一物，何处惹尘埃”中体现的思想是（）。,,"
选项：['A', '.', '诡', '辩', '论', '\n', 'B', '.', '主', '观', '唯', '心', '论', '\n', 'C', '.', '客', '观', '唯', '心', '论', '\n', 'D', '.', '相', '对', '论', '\n']","
答案：1","
【解析】A项错误，所谓诡辩就是有意地把真理说成是错误，把错误说成是真理的狡辩。题干不符合这一观点。B项正确，主观唯心主义主张人的精神是世界的本原，世界上的一切事物存在于人的精神之中。题干中“心中无一物，何处惹尘埃”指人的内心若无，那么现实也无，是典型的主观唯心主义的观点。C项错误，客观唯心主义是把世界的本原归结为脱离物质世界，并在人之外而独立存在的“客观精神”，如老子的道，朱熹的理学。题干不符合这一观点。D项错误，相对论认为世界一切事物都是相对的。比如没有高就无所谓矮，没有长也就无所谓短，题干不符合这一观点。故正确答案为B。","
来源:2014年吉林省直事业单位考试《公共基础知识》题（精选）第4题","
出错率：83.56%","
易错选项：2"
问题:先秦时期公孙龙提出的“白马非马”论割裂了事物的整体与部分的关系。(  ),,"
选项：['正', '确', '(', ')', ' ', ' ', ' ', ' ', '错', '误', '（', ')']","
答案：1","
【解析】本题考查马克思主义哲学。公孙龙提出白马非马的典故，割裂了事物共性与个性的关系。他的《白马论》是著名的诡辩学代表著作，提出了逻辑学中的“个别”和“一般”之间的相互关系，但把它们之间的区别夸大，割断二者的联系，是一种形而上学的思想体系。与他齐名的是另一名家惠施。故表述错误。","
来源:2015年河北省直事业单位考试《公共基础知识》题第55题","
出错率：45.58%","
易错选项：0"
问题:外形、声音和主持风格与撒贝宁相似的人工智能主播，“小小撒”参与掌控现场，妙语连珠，引得全场阵阵惊呼。人工智能正改变着人们的生产、生活方式，对于人工智能认识正确的是（    ）。,,"
选项：['A', '.', '人', '工', '智', '能', '体', '现', '了', '在', '一', '定', '条', '件', '下', '意', '识', '可', '以', '决', '定', '物', '质', '\n', 'B', '.', '人', '工', '智', '能', '的', '逻', '辑', '创', '新', '过', '程', '，', '说', '明', '人', '脑', '是', '意', '识', '的', '源', '泉', '\n', 'C', '.', '结', '构', '复', '杂', '的', '人', '脑', '和', '人', '工', '智', '能', '设', '备', '没', '有', '本', '质', '区', '别', '\n', 'D', '.', '人', '工', '智', '能', '可', '以', '对', '人', '们', '的', '意', '识', '和', '思', '维', '过', '程', '进', '行', '模', '拟', '\n']","
答案：3","
【解析】本题考查马克思主义哲学。A项错误，马克思主义认为物质第一性，意识第二性，物质决定意识，意识可以反作用于物质，是人脑对客观存在的主观反映。选项表述错误。B项错误，人脑是产生意识的物质器官，但是意识的内容是来自于客观世界，两个条件缺一不可。意识是有客观存在作用于人脑，再经过大脑的处理才产生的，所以不能片面地说人脑是意识的源泉。选项表述错误。C项错误、D项正确，人工智能是研究、开发用于模拟、延伸和扩展人的智能的理论、方法、技术及应用系统的一门新的技术科学，可以对人们的意识和思维过程进行模拟。人脑和人工智能存在本质区别：人脑可以产生意识，意识是人脑特有的机能，人工智能设备不能产生意识。故正确答案为D。","
来源:2019年吉林省省直事业单位公开招聘工作人员《通用知识》题第17题","
出错率：63.22%","
易错选项：1"
问题:下列表述，围绕哲学基本问题中的第一方面展开的是：,,"
选项：['A', '.', '射', '人', '先', '射', '马', '，', '擒', '贼', '先', '擒', '王', '\n', 'B', '.', '祸', '兮', '福', '之', '所', '倚', '，', '福', '兮', '祸', '之', '所', '伏', '\n', 'C', '.', '未', '有', '此', '气', '，', '已', '有', '此', '理', '，', '理', '生', '万', '物', '\n', 'D', '.', '没', '有', '不', '可', '认', '识', '的', '事', '物', '，', '只', '有', '尚', '未', '认', '识', '的', '事', '物', '\n']","
答案：2","
【解析】本题考查哲学常识，主要涉及哲学的基本问题。哲学的基本问题是思维与存在的关系问题，共包含两个方面：第一方面是思维和存在何者为第一性的问题，即物质和意识哪个是世界本源的问题，据此可划分为唯物主义与唯心主义；第二方面是思维与存在有无同一性的问题，即思维能否认识存在的问题，据此可划分为可知论和不可知论。A项错误，这句话体现的哲理是主要矛盾决定着事物的发展进程，解决问题需要抓住主要矛盾。B项错误，这句话体现的哲理是矛盾双方相互贯通，在一定条件下相互转化；矛盾双方相互依赖，共处于一个统一体中。C项正确，语出南宋哲学家朱熹，他认为“理”是世界的本源，“理”是第一性的，世间万物由理而生，是典型的客观唯心主义的观点。这一表述是围绕哲学基本问题中的第一方面展开的。D项错误，这一表述认为思维可以认识存在，是可知论的观点，围绕哲学基本问题第二方面展开。故正确答案为C。","
来源:2017年山西省事业单位《公共基础知识》题（下午场）第1题","
出错率：52.5%","
易错选项：3"
问题:爱因斯坦指出，“如果把哲学理解为在最普遍和最广泛的形式中对知识的追求，那么，显然哲学就可以被认为是全部科学研究之母。”这强调的是（    ）。,,"
选项：['A', '.', '哲', '学', '是', '检', '验', '认', '识', '是', '否', '具', '有', '真', '理', '性', '的', '唯', '一', '标', '准', '\n', 'B', '.', '哲', '学', '是', '各', '门', '具', '体', '学', '科', '的', '概', '括', '和', '总', '结', '\n', 'C', '.', '哲', '学', '是', '系', '统', '化', '、', '理', '论', '化', '的', '世', '界', '观', '\n', 'D', '.', '哲', '学', '与', '科', '学', '都', '属', '于', '上', '层', '建', '筑', '\n']","
答案：1","
【解析】本题考查马克思主义哲学。科学和哲学的关系是：具体科学的个性发展离不开哲学的共性指导；哲学能为具体科学提供世界观和方法论的指导。A项错误，选项说法错误，1978年5月11日，《光明日报》发表本报特约评论员文章《实践是检验真理的唯一标准》，文章指出，检验真理的标准只能是社会实践，理论与实践的统一是马克思主义的一个最基本的原则，任何理论都要不断接受实践的检验。B项正确，哲学是对具体科学知识的概括和总结，为具体科学提供世界观和方法论的指导。C项错误，哲学是系统化、理论化的世界观，这句话表述没错，但是不符合题意，并不是题干所要强调的。D项错误，上层建筑是指建立在一定经济基础上的社会意识形态以及与之相适应的政治法律制度和设施等的总和。哲学属于上层建筑，但是科学不属于上层建筑，科学属于生产力。科学是第一生产力，马克思指出：“生产力包括科学”。故正确答案为B。","
来源:2017年甘肃省选拔普通高校毕业生到基层工作考试《公共基础知识》试卷（精选）第11题","
出错率：53.44%","
易错选项：2"
问题:唯物主义经历了（  ）等几种形态。,,"
选项：['A', '.', '古', '代', '朴', '素', '唯', '物', '主', '义', '\n', 'B', '.', '古', '典', '唯', '物', '主', '义', '\n', 'C', '.', '近', '代', '形', '而', '上', '学', '唯', '物', '主', '义', '\n', 'D', '.', '辩', '证', '唯', '物', '主', '义', '和', '历', '史', '唯', '物', '主', '义', '\n']","
答案：0,2,3","
【解析】马克思主义认为唯物主义是哲学两大基本派别之一，它与唯心主义对立，在哲学基本问题上主张物质为第一性、精神为第二性，世界的本原是物质，精神是物质的产物和反映。唯物主义的历史形态有：古代朴素唯物主义、机械唯物主义（近代形而上学唯物主义）、辩证唯物主义与历史唯物主义。故正确答案为ACD。","
来源:2013年5月河北省承德市事业单位考试 《公共基础知识》题（精选）第42题","
出错率：67.04%","
易错选项：1"
问题:科学共产主义诞生的标志是《共产党宣言》的发表。,,"
选项：['正', '确', '(', ')', ' ', ' ', ' ', ' ', '错', '误', '（', ')']","
答案：0","
【解析】本题考查马克思主义哲学。《共产党宣言》是第一部较为完整而系统地阐述科学社会主义基本原理的伟大著作，是马克思主义的百科全书，是马克思主义哲学、政治经济学、科学社会主义、党的建设思想的集中体现。它标志着科学社会主义的诞生，开辟了国际工人运动和社会主义运动的新局面，为无产阶级和全人类打开了通向未来的大门，为人的全面发展和全人类解放指明了路径，成为世界无产阶级的锐利思想武器。故表述正确。","
来源:2019年河北省省直事业单位公开招聘工作人员《公共基础知识》题第49题","
出错率：70.22%","
易错选项：1"
